STATION,DATE,NAME,PRCP,SNOW,TMAX,TMIN,TAVG,AWND,WDF5,WSF5
USW00012816,12/7/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,244,56,,,,
USW00012816,12/8/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,239,50,,,,
USW00012816,12/9/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,189,89,,,,
USW00012816,12/10/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,233,122,,,,
USW00012816,12/11/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",236,0,222,150,,,,
USW00012816,12/12/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,150,22,,,,
USW00012816,12/13/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,89,-39,,,,
USW00012816,12/14/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,139,-56,,,,
USW00012816,12/15/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",193,0,167,67,,,,
USW00012816,12/16/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,133,-11,,,,
USW00012816,12/17/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,139,-28,,,,
USW00012816,12/18/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,161,-33,,,,
USW00012816,12/19/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,172,-28,,,,
USW00012816,12/20/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,194,-11,,,,
USW00012816,12/21/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",56,0,156,-6,,,,
USW00012816,12/22/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,78,-44,,,,
USW00012816,12/23/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,117,-39,,,,
USW00012816,12/24/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,172,-28,,,,
USW00012816,12/25/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,178,6,,,,
USW00012816,12/26/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,217,17,,,,
USW00012816,12/27/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,178,33,,,,
USW00012816,12/28/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,200,94,,,,
USW00012816,12/29/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,239,61,,,,
USW00012816,12/30/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",53,0,183,122,,,,
USW00012816,12/31/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",99,0,217,128,,,,
USW00012816,1/1/1961,"GAINESVILLE REGIONAL AIRPORT, FL US",36,0,167,67,,,,
USW00012816,1/2/1961,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,183,44,,,,
USW00012816,1/3/1961,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,139,11,,,,
USW00012816,1/4/1961,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,144,-11,,,,
